instruccion_sistema,text_combined,salida_esperada_json
"
Eres un analista experto en ciberseguridad. Voy a darte el texto de un correo electrónico.
Tu trabajo es analizarlo y devolver ÚNICAMENTE un objeto JSON válido con esta estructura exacta, sin texto adicional:
{
  ""urgencia"": true/false,
  ""peticion_sensible"": true/false,
  ""intencion_detectada"": ""breve descripción de lo que busca el remitente"",
  ""categoria_texto"": ""phishing"" o ""seguro"",
  ""justificacion"": ""explicación en menos de 15 palabras""
}
",hea 5 th annual chili cookoff michelle lokay time hea last event millennium held november 14 2000 tuesday garden heights 3926 feagan 5 00 p 8 00 p 10 hea nesa members 15 non member guests admission guarantees industry best chili beer need wash stand competition put team together try best chili best presentation awards 75 per team includes fees 5 members per team room 20 teams delay rules attached register return email print fax 713 659 6424 soon possible fun event miss member name _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ company _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ guest name company _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ credit card expiration date _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ team name _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ team members _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ open attachment try link thanks message sent teresa knight executive director houston energy association hea phone 713 651 0551 fax hea 713 659 6424 tknight houstonenergy org would like email address removed mailing list please click link hea home page find mini form remove name automatically http www houstonenergy org receive attached file corrupted find http www houstonenergy org public chili cookoff rules doc 1,"{
  ""urgencia"": false,
  ""peticion_sensible"": true,
  ""intencion_detectada"": ""Solicitar registro y pago para un evento de cocina"",
  ""categoria_texto"": ""phishing"",
  ""justificacion"": ""Solicita información sensible como datos de tarjeta de crédito""
}"
"
Eres un analista experto en ciberseguridad. Voy a darte el texto de un correo electrónico.
Tu trabajo es analizarlo y devolver ÚNICAMENTE un objeto JSON válido con esta estructura exacta, sin texto adicional:
{
  ""urgencia"": true/false,
  ""peticion_sensible"": true/false,
  ""intencion_detectada"": ""breve descripción de lo que busca el remitente"",
  ""categoria_texto"": ""phishing"" o ""seguro"",
  ""justificacion"": ""explicación en menos de 15 palabras""
}
",netco hr arrangements weekend ok sent blackberry wireless handheld www blackberry net,"{
  ""urgencia"": false,
  ""peticion_sensible"": false,
  ""intencion_detectada"": ""Confirmar arreglos de recursos humanos para el fin de semana"",
  ""categoria_texto"": ""seguro"",
  ""justificacion"": ""No hay indicios de phishing ni solicitudes sensibles.""
}"
"
Eres un analista experto en ciberseguridad. Voy a darte el texto de un correo electrónico.
Tu trabajo es analizarlo y devolver ÚNICAMENTE un objeto JSON válido con esta estructura exacta, sin texto adicional:
{
  ""urgencia"": true/false,
  ""peticion_sensible"": true/false,
  ""intencion_detectada"": ""breve descripción de lo que busca el remitente"",
  ""categoria_texto"": ""phishing"" o ""seguro"",
  ""justificacion"": ""explicación en menos de 15 palabras""
}
",siaka soumahorocathsukcom tourey siaka mugu 25 cathier de briyeh adjame abidjan cote ivoire west africa dear sir respect faith confidence decided contact confidential transaction requires assistance mutual beneficial relationship engineer tourey mugu siaka chairman award committee petrol ivoire oil republic cöte divoiresometime last year refinery generaly serviced many contracts also awarded oil sector break fire assistance world bank imf financial institutions replacement damaged equipment refinery whole period lot contract awareded many international contractors contracts fully executed every contractor waiting payment inspection job period contract able reserve sum 27 million thwenty seven million usa dollars must like transfer bank account country account overseas immediately open account bank name fund transfered account overseas possitionall necessary documents name sole contactor unwards payment transfer want provied full name adress private telephone number contract award chairman prepare documentations name contractor job fund paid name transfered account immediately offer 20 total money assistance moreso come meet day two arrival money account take care share taking commission 20 assistance money transferred account write back immediately feed informations modalities transaction note transaction smooth secured arrangement finalised wait urgent replyatmercusestrada1gtmxnet faithfully siaka mugu thu 19 may 2005 191404 0200 faithfull,"{
  ""urgencia"": true,
  ""peticion_sensible"": true,
  ""intencion_detectada"": ""Solicitar información personal para una transferencia de dinero"",
  ""categoria_texto"": ""phishing"",
  ""justificacion"": ""El correo busca obtener datos personales para un fraude financiero.""
}"
"
Eres un analista experto en ciberseguridad. Voy a darte el texto de un correo electrónico.
Tu trabajo es analizarlo y devolver ÚNICAMENTE un objeto JSON válido con esta estructura exacta, sin texto adicional:
{
  ""urgencia"": true/false,
  ""peticion_sensible"": true/false,
  ""intencion_detectada"": ""breve descripción de lo que busca el remitente"",
  ""categoria_texto"": ""phishing"" o ""seguro"",
  ""justificacion"": ""explicación en menos de 15 palabras""
}
",mg future structure found updated version one sent yesterday best regards forwarded shona wilson na enron 10 17 2000 07 55 marcelo parra mgusa 10 05 2000 04 04 pm tim poullain patterson lon ect ect cc mike jordan lon ect ect shona wilson na enron enron louis colarusso nyc mgusa mgusa tom mckeever eu enron mgltd subject mg future structure tim discussed please find attached updated version enron metals north america structure includes brokerage business updates merchanting operations please review provide comments would like finalize begin formal implementation changes soon possible best regards marcelo enron metals commodity corp e mail marcelo parra enron com,"{
  ""urgencia"": true,
  ""peticion_sensible"": false,
  ""intencion_detectada"": ""Solicitar revisión y comentarios sobre un documento adjunto"",
  ""categoria_texto"": ""seguro"",
  ""justificacion"": ""El correo es una solicitud de revisión de un documento interno.""
}"
"
Eres un analista experto en ciberseguridad. Voy a darte el texto de un correo electrónico.
Tu trabajo es analizarlo y devolver ÚNICAMENTE un objeto JSON válido con esta estructura exacta, sin texto adicional:
{
  ""urgencia"": true/false,
  ""peticion_sensible"": true/false,
  ""intencion_detectada"": ""breve descripción de lo que busca el remitente"",
  ""categoria_texto"": ""phishing"" o ""seguro"",
  ""justificacion"": ""explicación en menos de 15 palabras""
}
",sondra jeffers jolenegraymichaudshareholderactionorg replica watch vacheron constantin quality low price order rolex replica atches 0nline replica watches officine panerai closest original httpblockvatrebcom tue 05 aug 2008 211647 0500 looking watch visit replica classics,"{
  ""urgencia"": false,
  ""peticion_sensible"": false,
  ""intencion_detectada"": ""promocionar la compra de relojes de imitación"",
  ""categoria_texto"": ""phishing"",
  ""justificacion"": ""Ofrece productos falsificados a precios bajos.""
}"
"
Eres un analista experto en ciberseguridad. Voy a darte el texto de un correo electrónico.
Tu trabajo es analizarlo y devolver ÚNICAMENTE un objeto JSON válido con esta estructura exacta, sin texto adicional:
{
  ""urgencia"": true/false,
  ""peticion_sensible"": true/false,
  ""intencion_detectada"": ""breve descripción de lo que busca el remitente"",
  ""categoria_texto"": ""phishing"" o ""seguro"",
  ""justificacion"": ""explicación en menos de 15 palabras""
}
",2000 customer trip proposal please find attached 2000 customer trip proposal prepared chantelle villarreal find included approval form executive office cost per person 635 85 following page agenda provides explanation anticipated expenses meeting finally 2000 guest list includes customers schedulers managers please review soon time get back questions concerns may thanks heather choate x 33278 hpl customers named need soon possible submittal executive office,"{
  ""urgencia"": true,
  ""peticion_sensible"": true,
  ""intencion_detectada"": ""Solicitar revisión y aprobación de una propuesta de viaje"",
  ""categoria_texto"": ""phishing"",
  ""justificacion"": ""El correo parece urgente y solicita información sensible.""
}"
"
Eres un analista experto en ciberseguridad. Voy a darte el texto de un correo electrónico.
Tu trabajo es analizarlo y devolver ÚNICAMENTE un objeto JSON válido con esta estructura exacta, sin texto adicional:
{
  ""urgencia"": true/false,
  ""peticion_sensible"": true/false,
  ""intencion_detectada"": ""breve descripción de lo que busca el remitente"",
  ""categoria_texto"": ""phishing"" o ""seguro"",
  ""justificacion"": ""explicación en menos de 15 palabras""
}
",trey nielsen carolenigmamooneypervezorg get free bottles today change life wait read hundreds testimonials satisfied men girlfriends site years scientific research herbal breakthrough finally achieved product rated 1 healthcare professionals gains 13 inches guaranteed girth increases 5 30 httppillmustcom fri 08 aug 2008 011807 0200 penis enlargement possible learn products work,"{
  ""urgencia"": false,
  ""peticion_sensible"": false,
  ""intencion_detectada"": ""promocionar productos de aumento de pene"",
  ""categoria_texto"": ""phishing"",
  ""justificacion"": ""Contenido engañoso y promocional sin credibilidad.""
}"
"
Eres un analista experto en ciberseguridad. Voy a darte el texto de un correo electrónico.
Tu trabajo es analizarlo y devolver ÚNICAMENTE un objeto JSON válido con esta estructura exacta, sin texto adicional:
{
  ""urgencia"": true/false,
  ""peticion_sensible"": true/false,
  ""intencion_detectada"": ""breve descripción de lo que busca el remitente"",
  ""categoria_texto"": ""phishing"" o ""seguro"",
  ""justificacion"": ""explicación en menos de 15 palabras""
}
",dustin j mitchell eazcwyzmandacom 101907 andrei emeltchenko wrote selfaddstepshellcommand commandcp image export_dir glob expansion shell feature handing shellcommand list strings youre actually bypassing shell running command directly using commandcp image export_dir work dustin storage software engineer httpwwwzmandacom sfnet email sponsored splunk inc still grepping log files find problems stop search log events configuration files using ajax browser download free copy splunk httpgetsplunkcom wed 06 aug 2008 141325 0500 buildbotdevel shellcommand syntax,"{
  ""urgencia"": false,
  ""peticion_sensible"": false,
  ""intencion_detectada"": ""discutir sobre comandos de shell y software"",
  ""categoria_texto"": ""seguro"",
  ""justificacion"": ""No hay indicios de phishing ni solicitudes sensibles.""
}"
"
Eres un analista experto en ciberseguridad. Voy a darte el texto de un correo electrónico.
Tu trabajo es analizarlo y devolver ÚNICAMENTE un objeto JSON válido con esta estructura exacta, sin texto adicional:
{
  ""urgencia"": true/false,
  ""peticion_sensible"": true/false,
  ""intencion_detectada"": ""breve descripción de lo que busca el remitente"",
  ""categoria_texto"": ""phishing"" o ""seguro"",
  ""justificacion"": ""explicación en menos de 15 palabras""
}
",ibuyit activity week october 12 th co 413 louise believe seeing names enron networks employees placing orders behalf ena happens employees responsible obtaining prior approval responsible party within cost center ordering additionally hardware purchases must reviewed approved technical buyer cost center financial approval obtained therefore individuals see listed approver 1 approver 2 columns ena employees please advise additional questions thanks john original message kitchen louise sent wednesday october 17 2001 8 34 gillespie john cc davila raul hudgens mark wasaff george subject ibuyit activity week october 12 th co 413 lot people enron americas please cut original message gillespie john sent tuesday october 16 2001 2 28 pm kitchen louise cc davila raul hudgens mark wasaff george subject ibuyit activity week october 12 th co 413 louise attached ibuyit weekly activity report co 413 please advise questions thanks john,"{
  ""urgencia"": false,
  ""peticion_sensible"": false,
  ""intencion_detectada"": ""Solicitar aprobación de compras y aclaraciones sobre un informe"",
  ""categoria_texto"": ""seguro"",
  ""justificacion"": ""El correo trata sobre procedimientos internos de aprobación de compras.""
}"
"
Eres un analista experto en ciberseguridad. Voy a darte el texto de un correo electrónico.
Tu trabajo es analizarlo y devolver ÚNICAMENTE un objeto JSON válido con esta estructura exacta, sin texto adicional:
{
  ""urgencia"": true/false,
  ""peticion_sensible"": true/false,
  ""intencion_detectada"": ""breve descripción de lo que busca el remitente"",
  ""categoria_texto"": ""phishing"" o ""seguro"",
  ""justificacion"": ""explicación en menos de 15 palabras""
}
",heartland america liquidations djmubdjzheartlandamericacom email sent heartland america ensure delivery inbox bulk junk mail folders please add djmubdjzheartlandamericacom address book httpwwwheartlandamericacomlinkaspfbphscw82a1000eidw82a last chance liquidation savings never bigger like save money read management heartland america authorized last chance liquidation savings incredible incredible savings 65 percent sound dont misled leftover scratchndent products youd expect get prices low topquality come direct worlds premier manufacturers take look canon fax phone printer compare 35900 17999 12999 httpwwwheartlandamericacomlinkaspfbpipin64739scw82a1000eidw82a full electric blanket compare 6999 4999 2999 httpwwwheartlandamericacomlinkaspfbpipin57579scw82a1000eidw82a oreck compact air cleaner orig msr 29995 14999 9999 httpwwwheartlandamericacomlinkaspfbpipin60716scw82a1000eidw82a cigar gift set compare 8995 4999 2999 httpwwwheartlandamericacomlinkaspfbpipin56245scw82a1000eidw82a caribou creek brown brushed leather jacket compare 19988 8999 2999 httpwwwheartlandamericacomlinkaspfbpipin8256scw82a1000eidw82a 8ball skill stop slot machine sold nationally 39995 21999 17999 httpwwwheartlandamericacomlinkaspfbpipin61789scw82a1000eidw82a arcade style frogger 2999 2499 httpwwwheartlandamericacomlinkaspfbpipin59308scw82a1000eidw82a fantom bagless hand vacuum orig msr 7999 2999 1999 httpwwwheartlandamericacomlinkaspfbpipin60944scw82a1000eidw82a remington pole saw 12999 6999 httpwwwheartlandamericacomlinkaspfbpipin63440scw82a1000eidw82a 3 1 20th scale remote controlled car 1999 1499 httpwwwheartlandamericacomlinkaspfbpipin56999scw82a1000eidw82a 500 piece las vegas designer poker chip set compare 19000 9999 2999 httpwwwheartlandamericacomlinkaspfbpipin34754scw82a1000eidw82a red wing black bayport shoes msr 10000 4999 2999 httpwwwheartlandamericacomlinkaspfbpipin58984scw82a1000eidw82a 2346x60 spotting scope msr 19650 7999 6999 httpwwwheartlandamericacomlinkaspfbpipin58128scw82a1000eidw82a 6 piece harley davidson motorcycle set msr 5400 3999 2999 httpwwwheartlandamericacomlinkaspfbpipin54013scw82a1000eidw82a toss master pitching machine msr 16999 5999 4999 httpwwwheartlandamericacomlinkaspfbpipin62746scw82a1000eidw82a folding hand truck msr 5999 3999 2999 httpwwwheartlandamericacomlinkaspfbpipin59894scw82a1000eidw82a pennsylvania flyer train set msr 19999 14999 12999 httpwwwheartlandamericacomlinkaspfbpipin64741scw82a1000eidw82a 10 inch wellington boots msr 7499 4999 3999 httpwwwheartlandamericacomlinkaspfbpipin50943scw82a1000eidw82a adams rpm draw driver sold nationally 14999 6999 5999 httpwwwheartlandamericacomlinkaspfbpipin56904scw82a1000eidw82a 28 inch hydro sonic remote controlled boat msr 12995 6999 4999 httpwwwheartlandamericacomlinkaspfbpipin58109scw82a1000eidw82a fm clock radio compare 5999 1999 1499 httpwwwheartlandamericacomlinkaspfbpipin60091scw82a1000eidw82a popular silver coins msr 14995 9999 7999 httpwwwheartlandamericacomlinkaspfbpipin59164scw82a1000eidw82a mens flat tire newport compare 8499 3999 2499 httpwwwheartlandamericacomlinkaspfbpipin55879scw82a1000eidw82a croton divers watch preticketed 25000 4999 3999 httpwwwheartlandamericacomlinkaspfbpipin55521scw82a1000eidw82a roberto classics curb mens goldplate bracelet compare 4999 1999 1199 httpwwwheartlandamericacomlinkaspfbpipin57866scw82a1000eidw82a velour bath robe 6999 5999 httpwwwheartlandamericacomlinkaspfbpipin8206scw82a1000eidw82a space navigator msr 7999 4999 3999 httpwwwheartlandamericacomlinkaspfbpipin59311scw82a1000eidw82a fuji 90ez camera originally 3999 3999 1999 httpwwwheartlandamericacomlinkaspfbpipin61850scw82a1000eidw82a door window alert kit msr 4859 2999 1999 httpwwwheartlandamericacomlinkaspfbpipin58841scw82a1000eidw82a 10x42 binoculars radio msr 12865 5999 3999 httpwwwheartlandamericacomlinkaspfbpipin58314scw82a1000eidw82a twotone twist magnet bracelet compare 4900 1999 1699 httpwwwheartlandamericacomlinkaspfbpipin59921scw82a1000eidw82a red wing black crosby shoes msr 11000 4999 3999 httpwwwheartlandamericacomlinkaspfbpipin58768scw82a1000eidw82a icon plus 22 degree utility club compare 13999 2999 1999 httpwwwheartlandamericacomlinkaspfbpipin40983scw82a1000eidw82a mega botz msr 9999 7999 4999 httpwwwheartlandamericacomlinkaspfbpipin57835scw82a1000eidw82a movado faceto watch msr 119500 52999 46999 httpwwwheartlandamericacomlinkaspfbpipin59297scw82a1000eidw82a megatech cc flyer remote control plane compare 8999 4999 3999 httpwwwheartlandamericacomlinkaspfbpipin39250scw82a1000eidw82a red eton fr300 radio msr 5000 3999 2999 httpwwwheartlandamericacomlinkaspfbpipin63463scw82a1000eidw82a sink organizer 3999 2999 httpwwwheartlandamericacomlinkaspfbpipin61794scw82a1000eidw82a mens dunham clogs msr 8000 3999 2999 httpwwwheartlandamericacomlinkaspfbpipin51798scw82a1000eidw82a world landmarks coin set msr 9995 5999 3499 httpwwwheartlandamericacomlinkaspfbpipin59901scw82a1000eidw82a 4 decades silver mercury dimes msr 2995 1999 1699 httpwwwheartlandamericacomlinkaspfbpipin59009scw82a1000eidw82a red wing bradford shoes compare 11395 3999 3499 httpwwwheartlandamericacomlinkaspfbpipin58907scw82a1000eidw82a catch quantities extremely limited get savings must act fast visit heartlandamericacom order today hope enjoy receiving updates new clearance exclusive email offers change email status httpwwwheartlandamericacomlinkaspfspcfocusemailoffersscw82a1000eidw82a privacy assured sell rent email address anyone without permission heartland america 8085 century blvd chaska mn 55318 source code w82a1000 thu 07 aug 2008 164224 0600 last chance liquidation,"{
  ""urgencia"": false,
  ""peticion_sensible"": false,
  ""intencion_detectada"": ""promocionar productos en liquidación"",
  ""categoria_texto"": ""phishing"",
  ""justificacion"": ""oferta de productos a precios bajos y enlaces sospechosos""
}"
